Id: 39 | 2025-10-18 23:39:53 | INFO | User: b | Action: LOGOUT | Amount: 0 | Receiver: unknown receiver | Info: Successful
Id: 40 | 2025-10-18 23:39:54 | INFO | User: a | Action: BANK LOGIN | Amount: 0 | Receiver: unknown receiver | Info: Successful
Id: 41 | 2025-10-18 23:40:26 | INFO | User: a | Action: LOGOUT | Amount: 0 | Receiver: unknown receiver | Info: Successful
Id: 42 | 2025-10-18 23:40:31 | INFO | User: b | Action: USER LOGIN | Amount: 0 | Receiver: unknown receiver | Info: Successful
Id: 43 | 2025-10-18 23:40:35 | INFO | User: b | Action: DEPOSIT | Amount: 1 | Receiver: unknown receiver | Info: successful
Id: 44 | 2025-10-18 23:40:40 | INFO | User: b | Action: TRANSFER | Amount: 2 | Receiver: c | Info: successful
Id: 45 | 2025-10-18 23:40:43 | INFO | User: b | Action: WITHDRAW | Amount: 12 | Receiver: unknown receiver | Info: successful
Id: 46 | 2025-10-18 23:40:46 | INFO | User: b | Action: WITHDRAW | Amount: 11 | Receiver: unknown receiver | Info: successful
Id: 47 | 2025-10-18 23:40:48 | INFO | User: b | Action: WITHDRAW | Amount: 12 | Receiver: unknown receiver | Info: successful
Id: 48 | 2025-10-18 23:40:50 | INFO | User: b | Action: WITHDRAW | Amount: 111 | Receiver: unknown receiver | Info: successful
Id: 49 | 2025-10-18 23:40:52 | INFO | User: b | Action: WITHDRAW | Amount: 123 | Receiver: unknown receiver | Info: successful
Id: 50 | 2025-10-18 23:40:54 | INFO | User: b | Action: WITHDRAW | Amount: 123 | Receiver: unknown receiver | Info: successful
Id: 51 | 2025-10-18 23:40:55 | INFO | User: b | Action: LOGOUT | Amount: 0 | Receiver: unknown receiver | Info: Successful
Id: 52 | 2025-10-18 23:40:56 | INFO | User: a | Action: BANK LOGIN | Amount: 0 | Receiver: unknown receiver | Info: Successful
